t(sec)	BaseTemp(C)	D1C(A)	D2C(A)	D1T(C)	D2T(C)	VT(C)	LBOT(C)	ET(C)	Power(W)
   0.3	 30.66	 45.1	 45.5	  25.6	  22.9	   30.0	  147.8	  51.1	3228.0
  20.6	 30.66	 45.1	 45.5	  25.6	  22.9	   30.0	  147.8	  50.9	3287.0
  40.9	 30.64	 45.1	 45.5	  25.6	  22.9	   30.0	  147.8	  51.0	3286.0
  61.2	 30.64	 45.1	 45.5	  25.6	  22.9	   30.0	  147.8	  51.1	3288.0
  81.5	 30.64	 45.1	 45.5	  25.6	  22.9	   30.0	  147.7	  51.0	3289.0
 101.8	 30.64	 45.1	 45.5	  25.6	  22.9	   30.0	  147.8	  51.0	3295.0
 122.2	 30.66	 45.1	 45.5	  25.6	  22.9	   30.0	  147.8	  51.1	3296.0
 142.5	 30.66	 45.1	 45.5	  25.6	  22.9	   30.0	  147.7	  51.0	3299.0
 162.8	 30.67	 45.1	 45.5	  25.6	  22.9	   30.0	  147.8	  51.1	3302.0
 183.0	 30.69	 45.1	 45.5	  25.6	  22.9	   30.0	  147.7	  51.0	3304.0
 203.3	 30.69	 45.1	 45.5	  25.6	  22.9	   30.0	  147.7	  51.0	3306.0
 223.6	 30.73	 45.1	 45.5	  25.6	  22.9	   30.0	  147.8	  51.0	3309.0
 243.9	 30.73	 45.1	 45.6	  25.6	  22.9	   30.0	  147.7	  51.0	3311.0
 264.2	 30.75	 45.1	 45.5	  25.6	  22.9	   30.0	  147.8	  51.1	3316.0
 284.5	 30.75	 45.1	 45.5	  25.6	  22.9	   30.0	  147.8	  51.1	3318.0
 304.7	 30.81	 45.2	 45.5	  25.6	  22.9	   30.0	  147.7	  51.0	3323.0
 325.0	 30.81	 45.1	 45.6	  25.6	  22.9	   30.0	  147.7	  51.0	3320.0
 345.3	 30.82	 45.2	 45.6	  25.6	  22.9	   30.0	  147.8	  51.0	3325.0
 365.6	 30.82	 45.2	 45.6	  25.6	  22.9	   30.0	  147.8	  51.1	3324.0
 385.9	 30.82	 45.2	 45.6	  25.6	  22.9	   30.0	  147.8	  51.0	3325.0
 406.1	 30.84	 45.2	 45.6	  25.6	  22.9	   30.0	  147.8	  51.0	3326.0
 426.4	 30.84	 45.3	 45.7	  25.6	  22.9	   30.0	  147.7	  51.0	3325.0
 446.7	 30.80	 45.2	 45.7	  25.6	  22.9	   30.0	  147.8	  51.0	3328.0
 467.0	 30.80	 45.3	 45.7	  25.6	  22.9	   30.0	  147.8	  51.0	3331.0
 487.2	 30.80	 45.3	 45.7	  25.6	  22.9	   30.0	  147.8	  51.1	3334.0
