,Date,Power,Wavelength
0,13-Mar-2020 10:22:03,710.0,680.0
1,13-Mar-2020 10:22:05,1013.0,690.0
2,13-Mar-2020 10:22:06,1430.0,700.0
3,13-Mar-2020 10:22:07,1785.0,710.0
4,13-Mar-2020 10:22:08,2113.0,720.0
5,13-Mar-2020 10:22:09,2415.0,730.0
6,13-Mar-2020 10:22:10,2641.0,740.0
7,13-Mar-2020 10:22:12,2894.0,750.0
8,13-Mar-2020 10:22:13,2915.0,760.0
9,13-Mar-2020 10:22:14,3097.0,770.0
10,13-Mar-2020 10:22:16,3327.0,780.0
11,13-Mar-2020 10:22:17,3500.0,790.0
12,13-Mar-2020 10:22:18,3540.0,800.0
13,13-Mar-2020 10:22:20,3529.0,810.0
14,13-Mar-2020 10:22:21,3493.0,820.0
15,13-Mar-2020 10:22:22,3356.0,830.0
16,13-Mar-2020 10:22:23,3151.0,840.0
17,13-Mar-2020 10:22:24,3030.0,850.0
18,13-Mar-2020 10:22:26,2911.0,860.0
19,13-Mar-2020 10:22:27,2844.0,870.0
20,13-Mar-2020 10:22:28,2725.0,880.0
21,13-Mar-2020 10:22:30,2584.0,890.0
22,13-Mar-2020 10:22:31,2430.0,900.0
23,13-Mar-2020 10:22:32,2267.0,910.0
24,13-Mar-2020 10:22:33,2161.0,920.0
25,13-Mar-2020 10:22:34,1925.0,930.0
26,13-Mar-2020 10:22:35,1790.0,940.0
27,13-Mar-2020 10:22:37,1681.0,950.0
28,13-Mar-2020 10:22:38,1553.0,960.0
29,13-Mar-2020 10:22:39,1537.0,970.0
30,13-Mar-2020 10:22:40,1468.0,980.0
31,13-Mar-2020 10:22:41,1348.0,990.0
32,13-Mar-2020 10:22:42,1108.0,1000.0
33,13-Mar-2020 10:22:44,983.0,1010.0
34,13-Mar-2020 10:22:46,896.0,1020.0
35,13-Mar-2020 10:22:47,813.0,1030.0
36,13-Mar-2020 10:22:48,775.0,1040.0
37,13-Mar-2020 10:22:50,638.0,1050.0
38,13-Mar-2020 10:22:51,482.0,1060.0
39,13-Mar-2020 10:22:52,422.0,1070.0
